Item No.,Quantity,Name,Material
1,1,xy_joiner_left,- None -
2,1,xy_joiner_right,- None -
3,2,xy_joiner_plate,- None -
4,1,2020 394 mm,- None -
5,4,v slot slide nut M5,- None -
6,4,openbuilds_idler_wheel,- None -
7,8,625 2RS,- None -
8,4,nylon_spacer,- None -
9,4,DIN 912 M5 45 mm,- None -
10,8,DIN 912 M3 8 mm,- None -
11,12,Spacer 1 millimeter,- None -
12,8,Spacer 6 millimeter,- None -
13,1,MGN15 rail 420mm,- None -
14,1,MGN15C carriage body,- None -
15,4,M5  Hex nut Nyloc,- None -
